Node Name,IP Address,Category,Location,Manufacturer,Model,Mac Address,Extension Number,INVLOC
,,,,CIsco,cp-7821,2C3ECF779A93,1179,
,,,,cisco,cp-7821,00DF1D89D6E5,*8003,
